Date,Housing Cost Index,Interest Rate (%),Inflation Rate (%),Employment Levels (000s),Growth in Wage (%),GDP Growth Rate (%)
2022-03-31,24285.31732516253,3.9837046987419917,3.0087800413249703,27238.17614822623,4.2265262750133274,1.7796999119639172
2022-04-30,24398.303653075083,1.8208009032800618,3.381540069280175,30369.744228934134,4.574086769648451,3.8942330606349493
2022-05-31,24480.29920696925,0.9172483045976516,1.26830590955371,30929.39934841703,3.7961668469988283,1.6467058409042954
2022-06-30,24575.281688431634,1.2088384705085709,3.999841881596711,30800.86207837811,4.964754257174637,2.3650998160193177
2022-07-31,24668.15750876422,1.2042521142677485,1.839622372382343,25914.868373977548,2.8176193629251136,-1.3761289751878838
2022-08-31,24758.357570275613,1.3354648143176189,4.592217157762855,33774.6086263038,3.9554076832588034,3.286892943477655
2022-09-30,24884.83938387983,1.2635494495717556,1.8205585619280287,27656.00042588706,6.847061611676438,-1.1060056145533563
2022-10-31,24990.914109544243,4.024811096417681,1.7627508826546663,26295.14921282804,3.2906671635056375,3.7824734117676986
2022-11-30,25072.00085022922,1.5003404641952964,1.1461986713923795,33887.48079868977,5.283683322706461,3.474196613692701
2022-12-31,25185.76877943504,2.401170058281248,2.888267780439997,34556.514982297536,3.6259503211234745,2.961212884200835
2023-01-31,25317.601122390228,5.432336254483065,3.2593645330504657,33621.27617265451,5.867365628433003,-1.7468773363266652
2023-02-28,25433.088101298494,3.106789021445798,1.2628345577134095,33095.16074724878,2.654368303591749,0.12189849161730049
2023-03-31,25510.297551809184,4.17156756186565,4.102110466780042,31552.41980639022,6.849105225392724,-0.15821201062410006
2023-04-30,25603.03404071619,1.447759291608964,2.8131553389921105,30508.573706091393,4.268947706918196,0.5209548523006338
2023-05-31,25722.03770795399,1.5575896034476893,3.09756107731032,25869.867599114103,3.18025231673232,-1.3865007726531302
2023-06-30,25811.42266596971,0.7247773894656337,2.7630509877529126,29084.532130706986,2.367483736650063,4.55870476121744
2023-07-31,25918.079957391903,1.429142846896905,2.603052243501304,28726.88517012314,2.8487895254377036,1.8766156849866338
2023-08-31,26029.699468193343,2.0322468646757725,3.2385613252328715,27597.53783760326,4.598869742780089,0.13867017460616493
2023-09-30,26115.79551111967,1.4735576635221075,1.62096098372285,32234.20113688585,3.6850158821564314,0.7788706195199842
2023-10-31,26214.902630778746,0.9878639356638059,1.7277125219810845,29958.75735078771,6.144416829413047,1.1304177835338498
2023-11-30,26266.28362067771,1.1634972910533046,4.447142484054069,25810.46215907648,4.1544376183090295,2.204160333524321
2023-12-31,26350.917806057696,3.0342832241799917,4.784461848534531,27201.832019498113,3.2435713629381495,1.6097559938754844

